County,ITOP Total,ITOP Asian,ITOP Hispanic,ITOP White,ITOP Black,ITOP Other,Total Population,Under 15 Years,15 to 19 Years,20 to 24 Years,25 to 29 Years,30 to 34 Years,35 to 39 Years,40+ Years
Gaines,1,0.0,1,0,0,0.0,1,0,1,0,0,0,0,0
Galveston,563,17.0,134,252,155,5.0,563,0,42,151,162,117,73,18
Garza,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Gillespie,15,0.0,7,8,0,0.0,15,0,2,3,4,4,2,0
Glasscock,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Goliad,4,0.0,3,1,0,0.0,4,0,0,2,1,1,0,0
Gonzales,17,0.0,9,5,2,1.0,17,0,1,5,5,4,1,1
Gray,2,0.0,0,2,0,0.0,2,0,1,1,0,0,0,0
Grayson,126,2.0,23,77,20,4.0,126,1,17,31,31,27,16,3
Gregg,173,1.0,26,54,85,7.0,173,1,12,68,49,27,15,1
Grimes,38,0.0,3,23,12,0.0,38,0,3,12,10,8,3,2
Guadalupe,208,7.0,80,84,30,7.0,208,0,18,52,52,41,32,13
Hale,21,1.0,12,3,5,0.0,21,0,1,5,11,3,0,1
Hall,1,0.0,0,0,1,0.0,1,0,1,0,0,0,0,0
Hamilton,4,1.0,2,1,0,0.0,4,0,1,0,1,1,0,1
Hansford,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Hardeman,5,0.0,3,2,0,0.0,5,0,0,1,2,2,0,0
Hardin,45,1.0,4,27,13,0.0,45,0,2,11,16,8,7,1
Harris,"14,122",516.0,"5,215","2,640","5,618",133.0,"14,122",21,"1,065","4,099","4,222","2,789","1,450",476
Harrison,71,1.0,10,24,34,2.0,71,0,8,22,25,10,6,0
Hartley,1,0.0,1,0,0,0.0,1,0,0,1,0,0,0,0
Haskell,1,0.0,0,1,0,0.0,1,0,0,1,0,0,0,0
Hays,566,9.0,239,239,46,33.0,566,1,66,248,115,86,41,9
Hemphill,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Henderson,61,2.0,12,36,7,4.0,61,0,1,20,12,20,5,3
Hidalgo,"1,050",7.0,787,240,13,3.0,"1,050",2,112,350,266,203,95,22
Hill,35,0.0,12,18,5,0.0,35,0,5,14,8,5,2,1
Hockley,10,0.0,5,5,0,0.0,10,0,2,4,1,2,1,0
Hood,27,1.0,3,23,0,0.0,27,0,1,8,7,6,4,1
Hopkins,21,0.0,2,16,3,0.0,21,1,2,7,6,2,3,0
Houston,14,0.0,2,5,7,0.0,14,0,1,3,7,2,1,0
Howard,21,0.0,6,10,4,1.0,21,0,1,2,9,3,5,1
Hudspeth,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Hunt,97,1.0,16,48,28,4.0,97,1,12,34,25,18,5,2
Hutchinson,3,0.0,1,1,1,0.0,3,0,0,1,1,0,0,1
Irion,3,0.0,1,2,0,0.0,3,0,0,1,0,2,0,0
Jack,3,0.0,0,3,0,0.0,3,0,1,1,0,0,0,1
Jackson,14,0.0,1,7,6,0.0,14,0,3,3,5,3,0,0
Jasper,32,0.0,4,12,16,0.0,32,0,3,10,12,5,2,0
Jeff Davis,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Jefferson,492,13.0,69,116,292,2.0,492,1,45,149,149,103,35,10
Jim Hogg,7,0.0,6,1,0,0.0,7,0,0,5,0,1,0,1
Jim Wells,40,0.0,28,10,1,1.0,40,2,2,11,8,13,3,1
Johnson,169,1.0,38,97,29,4.0,169,2,15,61,33,39,15,4
Jones,9,1.0,5,1,2,0.0,9,0,2,1,3,1,2,0
