County,ITOP Total,ITOP Asian,ITOP Hispanic,ITOP White,ITOP Black,ITOP Other,,,,,,,,,,
Hunt,97,1,16,48,28,4,,,,,,,,,,
Hutchinson,3,0,1,1,1,0,,,,,,,,,,
Irion,3,0,1,2,0,0,,,,,,,,,,
Jack,3,0,0,3,0,0,,,,,,,,,,
Jackson,14,0,1,7,6,0,,,,,,,,,,
Jasper,32,0,4,12,16,0,,,,,,,,,,
Jeff Davis,0,0,0,0,0,0,,,,,,,,,,
Jefferson,492,13,69,116,292,2,,,,,,,,,,
Jim Hogg,7,0,6,1,0,0,,,,,,,,,,
Jim Wells,40,0,28,10,1,1,,,,,,,,,,
Johnson,169,1,38,97,29,4,,,,,,,,,,
Jones,9,1,5,1,2,0,,,,,,,,,,
Karnes,10,0,9,1,0,0,,,,,,,,,,
Kaufman,246,7,57,77,98,7,,,,,,,,,,
Kendall,29,1,12,14,2,0,,,,,,,,,,
Kenedy,0,0,0,0,0,0,,,,,,,,,,
Kent,0,0,0,0,0,0,,,,,,,,,,
Kerr,51,0,17,32,2,0,,,,,,,,,,
Kimble,5,0,2,1,2,0,,,,,,,,,,
King,0,0,0,0,0,0,,,,,,,,,,
Kinney,2,0,2,0,0,0,,,,,,,,,,
Kleberg,49,0,29,15,3,2,,,,,,,,,,
Knox,2,0,0,2,0,0,,,,,,,,,,
La Salle,10,0,8,2,0,0,,,,,,,,,,
Lamar,36,0,4,13,18,1,,,,,,,,,,
Lamb,3,1,2,0,0,0,,,,,,,,,,
Lampasas,14,0,4,9,1,0,,,,,,,,,,
Lavaca,9,0,4,4,1,0,,,,,,,,,,
Lee,22,0,11,5,3,3,,,,,,,,,,
Leon,10,0,1,4,5,0,,,,,,,,,,
Liberty,117,1,45,55,16,0,,,,,,,,,,
Limestone,23,3,3,9,8,0,,,,,,,,,,
Lipscomb,0,0,0,0,0,0,,,,,,,,,,
Live Oak,11,0,6,4,1,0,,,,,,,,,,
Llano,17,0,3,14,0,0,,,,,,,,,,
Loving,1,1,0,0,0,0,,,,,,,,,,
Lubbock,174,6,64,65,35,4,,,,,,,,,,
Lynn,1,0,0,1,0,0,,,,,,,,,,
Madison,15,0,2,6,7,0,,,,,,,,,,
Marion,8,0,0,5,3,0,,,,,,,,,,
Martin,4,0,3,0,0,1,,,,,,,,,,
Mason,4,0,1,3,0,0,,,,,,,,,,
Matagorda,46,1,13,17,12,3,,,,,,,,,,
Maverick,60,0,46,9,2,3,,,,,,,,,,
McCulloch,5,0,0,3,2,0,,,,,,,,,,
McLennan,313,7,114,99,87,6,,,,,,,,,,
McMullen,0,0,0,0,0,0,,,,,,,,,,
Medina,48,3,27,16,1,1,,,,,,,,,,
Menard,3,0,0,3,0,0,,,,,,,,,,
Midland,149,2,76,40,30,1,,,,,,,,,,
Milam,23,0,8,9,5,1,,,,,,,,,,
Mills,1,0,1,0,0,0,,,,,,,,,,
Mitchell,5,0,3,2,0,0,,,,,,,,,,
Montague,17,0,4,9,3,1,,,,,,,,,,
Montgomery,759,17,219,385,134,4,,,,,,,,,,
Moore,5,0,3,2,0,0,,,,,,,,,,
Morris,12,0,1,4,4,3,,,,,,,,,,
Motley,0,0,0,0,0,0,,,,,,,,,,
Nacogdoches,78,0,16,29,32,1,,,,,,,,,,
Navarro,60,0,21,16,22,1,,,,,,,,,,
Newton,12,0,0,4,7,1,,,,,,,,,,
Nolan,4,0,1,3,0,0,,,,,,,,,,
Nueces,575,8,340,181,32,14,,,,,,,,,,
Ochiltree,2,0,1,1,0,0,,,,,,,,,,
Oldham,0,0,0,0,0,0,,,,,,,,,,
Orange,106,1,10,63,29,3,,,,,,,,,,
Palo Pinto,16,0,3,12,0,1,,,,,,,,,,
Panola,14,0,1,6,6,1,,,,,,,,,,
Parker,95,1,15,74,4,1,,,,,,,,,,
Parmer,0,0,0,0,0,0,,,,,,,,,,
Pecos,10,0,7,2,1,0,,,,,,,,,,
Polk,40,2,16,17,4,1,,,,,,,,,,
Potter,21,0,8,10,3,0,,,,,,,,,,
Presidio,4,0,1,3,0,0,,,,,,,,,,
Rains,7,0,1,5,1,0,,,,,,,,,,
Randall,11,0,8,3,0,0,,,,,,,,,,
Reagan,3,0,2,1,0,0,,,,,,,,,,
Real,4,0,0,4,0,0,,,,,,,,,,
Red River,9,2,0,4,2,1,,,,,,,,,,
Reeves,4,0,3,1,0,0,,,,,,,,,,
Refugio,5,0,4,1,0,0,,,,,,,,,,
Roberts,0,0,0,0,0,0,,,,,,,,,,
Robertson,17,0,2,9,6,0,,,,,,,,,,
Rockwall,118,5,21,59,29,4,,,,,,,,,,
Runnels,5,0,2,3,0,0,,,,,,,,,,
Rusk,33,0,3,20,9,1,,,,,,,,,,
Sabine,9,0,2,3,4,0,,,,,,,,,,
San Augustine,8,0,0,6,2,0,,,,,,,,,,
San Jacinto,22,0,6,12,4,0,,,,,,,,,,
San Patricio,75,2,49,23,1,0,,,,,,,,,,
San Saba,2,0,1,1,0,0,,,,,,,,,,
Schleicher,0,0,0,0,0,0,,,,,,,,,,
Scurry,10,0,3,7,0,0,,,,,,,,,,
