,,,,,,,,
County ,Total,Under 15 Years,15 to 19 Years ,20 to 24 Years ,25 to 29 Years ,30 to 34 Years ,35 to 39 Years ,40+ Years 
Anderson,40,0,5,9,12,11,3,0
Andrews,3,0,1,1,0,1,0,0
Angelina,97,0,12,27,35,14,7,2
Aransas,23,0,2,7,7,4,2,1
Archer,1,0,0,0,1,0,0,0
Armstrong,0,0,0,0,0,0,0,0
Atascosa,75,0,7,21,30,13,3,1
Austin,25,0,2,11,5,3,3,1
Bailey,4,0,0,1,1,1,1,0
Bandera,16,0,1,5,4,4,2,0
Bastrop,143,0,16,46,28,29,19,5
Baylor,1,0,0,1,0,0,0,0
Bee,44,1,3,15,14,5,4,2
Bell,893,3,73,280,274,165,78,20
Bexar,"5,180",13,434,"1,633","1,493",943,483,181
Blanco,17,0,0,5,5,4,3,0
Borden,0,0,0,0,0,0,0,0
Bosque,7,1,1,1,0,4,0,0
Bowie,99,3,7,26,33,21,7,2
Brazoria,620,1,58,162,174,127,73,25
Brazos,330,1,26,161,81,29,28,4
Brewster,4,0,0,2,1,0,1,0
Briscoe,1,0,1,0,0,0,0,0
Brooks,5,0,0,2,3,0,0,0
Brown,17,0,2,7,4,3,1,0
Burleson,17,1,0,6,7,1,0,2
Burnet,57,0,5,14,20,10,5,3
Caldwell,85,0,13,28,15,14,10,5
Calhoun,14,0,2,5,2,1,2,2
Callahan,4,0,0,1,1,1,0,1
Cameron,417,0,57,152,104,60,34,10
Camp,19,0,0,7,10,0,2,0
Carson,1,0,1,0,0,0,0,0
Cass,17,0,5,6,4,1,0,1
Castro,0,0,0,0,0,0,0,0
Chambers,57,0,6,19,18,7,4,3
Cherokee,40,1,2,18,11,5,3,0
Childress,1,0,0,1,0,0,0,0
Clay,2,0,0,2,0,0,0,0
Cochran,1,0,0,0,1,0,0,0
Coke,0,0,0,0,0,0,0,0
Coleman,3,0,0,1,0,2,0,0
Collin,"1,447",2,82,333,392,332,219,87
Collingsworth,0,0,0,0,0,0,0,0
Colorado,20,0,3,7,5,5,0,0
Comal,228,0,27,60,65,44,25,7
Comanche,4,0,0,1,2,0,0,1
Concho,4,0,0,2,2,0,0,0
Cooke,26,0,3,8,9,1,5,0
Coryell,106,0,3,37,32,22,11,1
Cottle,1,0,0,1,0,0,0,0
Crane,6,0,1,2,2,1,0,0
Crockett,4,0,2,1,0,0,0,1
Crosby,5,0,1,0,2,0,1,1
Culberson,0,0,0,0,0,0,0,0
Dallam,0,0,0,0,0,0,0,0
Dallas,"6,867",11,508,"2,004","2,110","1,332",694,208
Dawson,3,0,2,1,0,0,0,0
DeWitt,14,0,3,3,7,1,0,0
Deaf Smith,2,0,0,1,0,1,0,0
Delta,1,0,0,0,1,0,0,0
Denton,"1,253",2,75,377,307,251,181,60
Dickens,0,0,0,0,0,0,0,0
Dimmit,10,0,2,3,3,2,0,0
Donley,1,0,0,0,1,0,0,0
Duval,11,0,1,2,4,4,0,0
Eastland,13,0,0,7,1,2,3,0
Ector,139,0,12,40,49,21,12,5
Edwards,0,0,0,0,0,0,0,0
El Paso,27,0,8,9,5,2,2,1
Ellis,287,1,32,84,78,61,23,8
Erath,54,0,3,35,8,4,3,1
Falls,17,2,2,4,4,3,2,0
Fannin,25,0,3,3,11,5,1,2
Fayette,24,0,8,9,3,3,1,0
Fisher,2,0,0,0,2,0,0,0
Floyd,3,0,0,0,1,2,0,0
Foard,0,0,0,0,0,0,0,0
Fort Bend,"1,359",1,81,329,320,320,224,84
Franklin,4,0,1,0,1,1,0,1
Freestone,14,0,2,1,6,3,2,0
Frio,28,0,3,15,6,3,1,0
Gaines,1,0,1,0,0,0,0,0
Galveston,563,0,42,151,162,117,73,18
Garza,0,0,0,0,0,0,0,0
Gillespie,15,0,2,3,4,4,2,0
Glasscock,0,0,0,0,0,0,0,0
Goliad,4,0,0,2,1,1,0,0
Gonzales,17,0,1,5,5,4,1,1
Gray,2,0,1,1,0,0,0,0
Grayson,126,1,17,31,31,27,16,3
Gregg,173,1,12,68,49,27,15,1
Grimes,38,0,3,12,10,8,3,2
Guadalupe,208,0,18,52,52,41,32,13
Hale,21,0,1,5,11,3,0,1
Hall,1,0,1,0,0,0,0,0
Hamilton,4,0,1,0,1,1,0,1
Hansford,0,0,0,0,0,0,0,0
Hardeman,5,0,0,1,2,2,0,0
Hardin,45,0,2,11,16,8,7,1
Harris,"14,122",21,"1,065","4,099","4,222","2,789","1,450",476
Harrison,71,0,8,22,25,10,6,0
Hartley,1,0,0,1,0,0,0,0
Haskell,1,0,0,1,0,0,0,0
Hays,566,1,66,248,115,86,41,9
Hemphill,0,0,0,0,0,0,0,0
Henderson,61,0,1,20,12,20,5,3
Hidalgo,"1,050",2,112,350,266,203,95,22
Hill,35,0,5,14,8,5,2,1
Hockley,10,0,2,4,1,2,1,0
Hood,27,0,1,8,7,6,4,1
Hopkins,21,1,2,7,6,2,3,0
Houston,14,0,1,3,7,2,1,0
Howard,21,0,1,2,9,3,5,1
Hudspeth,0,0,0,0,0,0,0,0
Hunt,97,1,12,34,25,18,5,2
Hutchinson,3,0,0,1,1,0,0,1
Irion,3,0,0,1,0,2,0,0
Jack,3,0,1,1,0,0,0,1
Jackson,14,0,3,3,5,3,0,0
Jasper,32,0,3,10,12,5,2,0
Jeff Davis,0,0,0,0,0,0,0,0
Jefferson,492,1,45,149,149,103,35,10
Jim Hogg,7,0,0,5,0,1,0,1
Jim Wells,40,2,2,11,8,13,3,1
Johnson,169,2,15,61,33,39,15,4
Jones,9,0,2,1,3,1,2,0
